564,91,374
456,922,918
702,550,328
922,89,991
753,198,186
684,110,682
532,932,136
530,644,962
614,319,532
759,936,120
977,839,22
641,817,928
592,876,746
600,53,644
177,347,528
352,703,12
52,509,996
854,261,896
861,667,366
442,192,209
404,911,623
363,262,937
943,854,829
656,622,892
594,640,989
469,480,537
576,765,909
786,280,369
158,522,812
381,846,640
852,49,887
962,485,606
868,67,360
723,78,890
906,213,554
865,100,422
163,705,688
256,958,225
506,969,880
493,912,383
915,236,844
235,329,27
870,226,37
717,165,153
377,703,182
678,475,502
323,69,548
415,245,756
278,119,334
155,684,469
438,500,113
958,417,129
612,122,816
533,848,768
334,320,131
45,932,792
959,420,798
973,468,152
70,300,326
871,777,880
514,231,558
787,417,560
821,100,905
591,684,288
190,207,760
69,862,256
574,342,775
988,8,2
879,304,759
53,328,995
62,677,18
668,602,923
102,380,926
96,941,161
779,630,237
456,560,111
404,939,345
51,799,595
238,307,390
646,515,944
647,87,781
787,909,639
175,624,202
711,475,266
9,316,88
483,800,748
790,240,280
952,488,436
292,955,619
233,473,117
448,10,880
265,585,641
80,169,934
671,394,317
297,359,704
3,238,736
842,666,653
986,704,223
201,141,62
322,541,275
